Type,water- liters.day,Growth_Season,Temperature_C,Pot_Size,Light_Type,Soil_Type,Growth_Requirements,Care_Instructions,Water.ml_Notif/day,Growth_Tracker,Benefit
فجل أخضر غامق (Radish - Dark Green),0.59,Summer,Oct-29,large,Indirect light,Well-drained,Deadhead spent blooms,Keep soil evenly moist,590,Fast (80%),Contains antioxidants that reduce inflammation
هليون شتوي (Asparagus - Winter),1.25,Spring,13-25,large,Full sun,Loamy,Support stems/trellis,"Water at base, not foliage",1250,Medium (60%),Used in traditional herbal medicine
بروكلي متأخر (Broccoli - Late),2.37,Winter,Dec-26,ground,Full sun,Sandy loam,Fertilize monthly,Trim regularly for shape,2370,Medium (60%),Rich in vitamins and minerals
بروكلي قزمي (Broccoli - Dwarf),1.68,Autumn,20-33,ground,Indirect light,Sandy,Mulch to retain moisture,Trim regularly for shape,1680,Slow (40%),Contains antioxidants that reduce inflammation
خس طري (Lettuce - Tender),1.67,Autumn,14-35,ground,Full sun,Well-drained,Deadhead spent blooms,Avoid overwatering,1670,Fast (80%),Contains antioxidants that reduce inflammation
كرنب مقرمش (Cabbage - Crisp),2.55,Winter,Nov-34,medium,Full sun,Clay,Fertilize monthly,Trim regularly for shape,2550,Medium-Fast (70%),Rich in vitamins and minerals
فجل صيفي (Radish - Summer),2.81,Winter,18-34,large,Partial shade,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,2810,Medium-Fast (70%),Natural source of fiber for better digestion
ثوم كرزية (Garlic - Cherry),2.8,Autumn,19-34,large,Partial shade,Sandy,Deadhead spent blooms,Trim regularly for shape,2800,Medium (60%),Contains antioxidants that reduce inflammation
شمندر أخضر غامق (Beetroot - Dark Green),1.94,Summer,14-25,ground,Full sun,Clay,Fertilize monthly,"Water at base, not foliage",1940,Slow (40%),Contains antioxidants that reduce inflammation
كوسا سان مارزانو (Zucchini - San Marzano),2.18,Autumn,Oct-36,ground,Indirect light,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,2180,Medium (60%),Some species purify indoor air
يقطين حار (Pumpkin - Hot),1.61,Spring,16-25,large,Full sun,Sandy,Mulch to retain moisture,Protect from frost,1610,Medium-Fast (70%),Support ecosystems and reduce global warming
كيوي عملاق (Kiwi - Giant),1.49,Winter,18-33,ground,Indirect light,Loamy,Deadhead spent blooms,"Water at base, not foliage",1490,Slow (40%),Improves mood and well-being
فراولة جبلي (Strawberry - Highland),1.54,Summer,14-35,large,Indirect light,Sandy,Regular watering,Keep soil evenly moist,1540,Slow (40%),High in vitamin C and antioxidants
موز كرزي (Banana - Cherry),2.13,Spring,17-22,medium,Full sun,Sandy loam,Support stems/trellis,Keep soil evenly moist,2130,Fast (80%),Helps prevent chronic diseases
فراولة ملكي (Strawberry - Royal),2.69,Summer,17-32,large,Partial shade,Loamy,Regular watering,"Water at base, not foliage",2690,Fast (80%),High in vitamin C and antioxidants
توت أزرق قزمي (Blueberry - Dwarf),2.66,Autumn,14-34,ground,Indirect light,Sandy loam,Regular watering,Protect from frost,2660,Fast (80%),Boosts immunity and improves skin health
عنب استوائي (Grape - Tropical),1.53,Winter,15-29,medium,Full sun,Clay,Deadhead spent blooms,"Water at base, not foliage",1530,Medium-Fast (70%),Helps prevent chronic diseases
كمثرى عطري (Pear - Aromatic),0.87,Spring,15-28,ground,Indirect light,Well-drained,Mulch to retain moisture,"Water at base, not foliage",870,Slow (40%),High in vitamin C and antioxidants
توت أزرق ممتاز (Blueberry - Prime),2.15,Winter,19-31,large,Full sun,Sandy loam,Fertilize monthly,"Water at base, not foliage",2150,Medium-Fast (70%),Boosts immunity and improves skin health
جوافة ربيعي (Guava - Spring),2.36,Winter,Nov-31,ground,Full sun,Loamy,Fertilize monthly,Keep soil evenly moist,2360,Medium (60%),Contains antioxidants that reduce inflammation
توت أزرق سكّرية (Blueberry - Sugary),1.39,Summer,14-32,ground,Full sun,Well-drained,Mulch to retain moisture,Keep soil evenly moist,1390,Medium (60%),High in vitamin C and antioxidants
مانجو ربيعي (Mango - Spring),2.43,Winter,13-32,ground,Partial shade,Sandy,Deadhead spent blooms,"Water at base, not foliage",2430,Fast (80%),Boosts immunity and improves skin health
عنب ربيعي (Grape - Spring),0.44,Winter,16-22,medium,Indirect light,Loamy,Deadhead spent blooms,Keep soil evenly moist,440,Medium (60%),Provides hydration and natural energy
موز أحمر لامع (Banana - Crimson),1.39,Spring,14-36,large,Full sun,Sandy,Deadhead spent blooms,Avoid overwatering,1390,Slow (40%),High in vitamin C and antioxidants
موز خريفي (Banana - Autumn),1.85,Winter,16-26,large,Partial shade,Loamy,Mulch to retain moisture,Avoid overwatering,1850,Medium (60%),Contains beneficial natural sugars
برتقال عملاق (Orange - Giant),0.93,Winter,20-36,ground,Indirect light,Sandy,Regular watering,Protect from frost,930,Slow (40%),Helps prevent chronic diseases
توت أسود عسلي (Blackberry - Honey),2.91,Winter,14-31,large,Full sun,Clay,Mulch to retain moisture,"Water at base, not foliage",2910,Slow (40%),Contains antioxidants that reduce inflammation
خوخ سكّرية (Peach - Sugary),1.2,Summer,14-35,large,Indirect light,Well-drained,Regular watering,Keep soil evenly moist,1200,Fast (80%),Helps prevent chronic diseases
عنب عملاق (Grape - Giant),0.63,Autumn,15-26,ground,Full sun,Clay,Regular watering,Keep soil evenly moist,630,Fast (80%),High in vitamin C and antioxidants
توت أسود خريفي (Blackberry - Autumn),0.62,Autumn,19-22,ground,Full sun,Sandy,Deadhead spent blooms,"Water at base, not foliage",620,Medium-Fast (70%),Support ecosystems and reduce global warming
تين صيفي (Fig - Summer),2.28,Spring,18-36,ground,Indirect light,Well-drained,Regular watering,Trim regularly for shape,2280,Slow (40%),Contains beneficial natural sugars
برتقال عطري (Orange - Aromatic),1.41,Spring,20-24,medium,Full sun,Loamy,Mulch to retain moisture,Trim regularly for shape,1410,Medium (60%),Boosts immunity and improves skin health
برتقال ملكي (Orange - Royal),2.89,Winter,Dec-31,medium,Partial shade,Clay,Mulch to retain moisture,"Water at base, not foliage",2890,Medium-Fast (70%),Provides hydration and natural energy
أفوكادو ذهبي (Avocado - Golden),2.24,Autumn,Dec-33,ground,Partial shade,Clay,Support stems/trellis,Avoid overwatering,2240,Fast (80%),Support heart health and lower cholesterol
تين ملكي (Fig - Royal),2.39,Winter,Dec-30,ground,Full sun,Clay,Deadhead spent blooms,Protect from frost,2390,Medium (60%),Boosts immunity and improves skin health
موز سكّرية (Banana - Sugary),2.72,Summer,20-34,medium,Indirect light,Loamy,Regular watering,Protect from frost,2720,Fast (80%),Boosts immunity and improves skin health
رمان حامضي (Pomegranate - Tart),0.56,Autumn,13-32,large,Partial shade,Loamy,Mulch to retain moisture,Keep soil evenly moist,560,Medium (60%),High in plant-based protein
فراولة سكّرية (Strawberry - Sugary),1.7,Spring,Oct-36,medium,Indirect light,Well-drained,Regular watering,"Water at base, not foliage",1700,Medium (60%),Provides hydration and natural energy
كمثرى ذهبي (Pear - Golden),1.1,Winter,20-34,large,Indirect light,Loamy,Fertilize monthly,"Water at base, not foliage",1100,Medium (60%),Contains beneficial natural sugars
موز حامضي (Banana - Tart),1.32,Winter,18-30,ground,Partial shade,Loamy,Fertilize monthly,Trim regularly for shape,1320,Medium-Fast (70%),Contains beneficial natural sugars
موز ممتاز (Banana - Prime),1.02,Winter,18-24,ground,Full sun,Sandy,Regular watering,Avoid overwatering,1020,Medium (60%),Boosts immunity and improves skin health
أناناس قزمي (Pineapple - Dwarf),2.22,Summer,15-22,medium,Indirect light,Sandy,Support stems/trellis,Keep soil evenly moist,2220,Fast (80%),Helps prevent chronic diseases
توت أسود استوائي (Blackberry - Tropical),2.89,Winter,15-28,large,Partial shade,Clay,Support stems/trellis,Trim regularly for shape,2890,Fast (80%),Fix nitrogen and enrich soil fertility
خوخ استوائي (Peach - Tropical),0.71,Autumn,17-33,medium,Indirect light,Sandy,Deadhead spent blooms,Protect from frost,710,Medium (60%),Provides hydration and natural energy
جوافة استوائي (Guava - Tropical),1.94,Summer,13-30,medium,Partial shade,Sandy,Fertilize monthly,"Water at base, not foliage",1940,Slow (40%),Improves digestion and reduces bloating
موز عسلي (Banana - Honey),1.02,Spring,14-33,large,Partial shade,Clay,Support stems/trellis,Keep soil evenly moist,1020,Medium (60%),Contains beneficial natural sugars
كيوي كرزي (Kiwi - Cherry),1.24,Winter,18-22,large,Partial shade,Sandy,Regular watering,Keep soil evenly moist,1240,Fast (80%),Helps prevent chronic diseases
كيوي أحمر لامع (Kiwi - Crimson),2.64,Summer,Oct-31,large,Partial shade,Sandy,Mulch to retain moisture,Trim regularly for shape,2640,Slow (40%),High in plant-based protein
رمان ملكي (Pomegranate - Royal),2.73,Summer,20-34,ground,Partial shade,Sandy,Regular watering,"Water at base, not foliage",2730,Medium-Fast (70%),Boosts immunity and improves skin health
فراولة كرزي (Strawberry - Cherry),0.53,Summer,18-30,large,Indirect light,Loamy,Deadhead spent blooms,Protect from frost,530,Fast (80%),Boosts immunity and improves skin health
خوخ ذهبي (Peach - Golden),1.71,Spring,15-24,large,Full sun,Well-drained,Fertilize monthly,Trim regularly for shape,1710,Medium (60%),Boosts immunity and improves skin health
مانجو كرزي (Mango - Cherry),2.26,Autumn,14-23,medium,Full sun,Well-drained,Support stems/trellis,Keep soil evenly moist,2260,Medium-Fast (70%),Contains beneficial natural sugars
خوخ ممتاز (Peach - Prime),2.92,Spring,14-23,medium,Indirect light,Clay,Fertilize monthly,"Water at base, not foliage",2920,Medium (60%),High in vitamin C and antioxidants
كريز بري (Cherry - Wild),2.47,Spring,19-22,large,Indirect light,Sandy,Support stems/trellis,Avoid overwatering,2470,Medium-Fast (70%),High in vitamin C and antioxidants
أفوكادو أحمر لامع (Avocado - Crimson),2.32,Summer,20-26,ground,Full sun,Clay,Deadhead spent blooms,"Water at base, not foliage",2320,Medium-Fast (70%),Used in cooking as natural seasoning
توت أزرق صيفي (Blueberry - Summer),1.5,Spring,16-36,medium,Full sun,Sandy,Fertilize monthly,Protect from frost,1500,Medium-Fast (70%),Provides hydration and natural energy
كمثرى بري (Pear - Wild),1.89,Summer,20-28,large,Partial shade,Loamy,Mulch to retain moisture,Trim regularly for shape,1890,Fast (80%),Helps prevent chronic diseases
توت أسود سكّرية (Blackberry - Sugary),2.66,Summer,19-34,large,Full sun,Sandy loam,Deadhead spent blooms,Avoid overwatering,2660,Medium-Fast (70%),Soothing and antimicrobial properties
ليمون أحمر لامع (Lemon - Crimson),2.04,Autumn,Oct-33,large,Partial shade,Clay,Deadhead spent blooms,Keep soil evenly moist,2040,Slow (40%),Provides hydration and natural energy
كريز عملاق (Cherry - Giant),0.4,Summer,13-28,large,Indirect light,Sandy loam,Regular watering,Trim regularly for shape,400,Slow (40%),Helps prevent chronic diseases
جوافة عملاق (Guava - Giant),0.48,Spring,17-23,ground,Partial shade,Sandy loam,Deadhead spent blooms,"Water at base, not foliage",480,Medium (60%),High in plant-based protein
أناناس جبلي (Pineapple - Highland),1.73,Summer,15-35,medium,Partial shade,Sandy,Fertilize monthly,Avoid overwatering,1730,Slow (40%),Provides hydration and natural energy
رمان سكّرية (Pomegranate - Sugary),2.02,Spring,18-35,large,Partial shade,Sandy,Deadhead spent blooms,Protect from frost,2020,Medium (60%),Fix nitrogen and enrich soil fertility
برتقال ذهبي (Orange - Golden),0.69,Autumn,Oct-34,ground,Partial shade,Sandy loam,Support stems/trellis,Protect from frost,690,Medium (60%),Contains beneficial natural sugars
ليمون ملكي (Lemon - Royal),2.08,Winter,Nov-29,large,Partial shade,Clay,Fertilize monthly,Protect from frost,2080,Fast (80%),Boosts immunity and improves skin health
عنب عطري (Grape - Aromatic),2.72,Winter,17-34,large,Indirect light,Loamy,Fertilize monthly,Trim regularly for shape,2720,Fast (80%),Helps prevent chronic diseases
كريز أحمر لامع (Cherry - Crimson),2.22,Spring,Nov-34,medium,Indirect light,Loamy,Mulch to retain moisture,Avoid overwatering,2220,Slow (40%),Contains beneficial natural sugars
شمام عملاق (Cantaloupe - Giant),1.35,Summer,15-36,large,Indirect light,Sandy,Regular watering,Keep soil evenly moist,1350,Fast (80%),Natural source of fiber for better digestion
فراولة حامضي (Strawberry - Tart),0.79,Autumn,13-23,large,Partial shade,Well-drained,Fertilize monthly,Avoid overwatering,790,Slow (40%),Provides hydration and natural energy
شمام أحمر لامع (Cantaloupe - Crimson),2.32,Summer,20-29,ground,Partial shade,Sandy loam,Support stems/trellis,"Water at base, not foliage",2320,Slow (40%),Contains beneficial natural sugars
خوخ أحمر لامع (Peach - Crimson),1.24,Spring,Dec-34,ground,Indirect light,Sandy,Regular watering,Trim regularly for shape,1240,Fast (80%),Provides hydration and natural energy
أفوكادو عملاق (Avocado - Giant),0.46,Winter,Dec-30,ground,Indirect light,Sandy,Mulch to retain moisture,Trim regularly for shape,460,Medium (60%),Prevent soil erosion and retain moisture
شمام خريفي (Cantaloupe - Autumn),2.48,Spring,19-36,medium,Partial shade,Well-drained,Fertilize monthly,Protect from frost,2480,Slow (40%),Used in cooking as natural seasoning
كريز ممتاز (Cherry - Prime),1.07,Spring,17-27,ground,Partial shade,Loamy,Mulch to retain moisture,"Water at base, not foliage",1070,Fast (80%),Boosts immunity and improves skin health
كريز ملكي (Cherry - Royal),0.66,Autumn,Oct-30,large,Full sun,Well-drained,Mulch to retain moisture,Keep soil evenly moist,660,Fast (80%),Helps prevent chronic diseases
كمثرى صيفي (Pear - Summer),0.38,Autumn,15-26,large,Partial shade,Clay,Fertilize monthly,Avoid overwatering,380,Fast (80%),Helps prevent chronic diseases
أفوكادو استوائي (Avocado - Tropical),0.37,Spring,20-34,ground,Indirect light,Clay,Support stems/trellis,Avoid overwatering,370,Medium-Fast (70%),High in vitamin C and antioxidants
عنب سكّرية (Grape - Sugary),2.25,Autumn,Dec-34,large,Indirect light,Well-drained,Deadhead spent blooms,"Water at base, not foliage",2250,Fast (80%),Provides hydration and natural energy
جوافة جبلي (Guava - Highland),0.47,Spring,14-36,medium,Full sun,Loamy,Support stems/trellis,Avoid overwatering,470,Slow (40%),Support ecosystems and reduce global warming
تين بري (Fig - Wild),2.25,Summer,13-27,medium,Full sun,Sandy,Fertilize monthly,Keep soil evenly moist,2250,Slow (40%),High in vitamin C and antioxidants
مانجو سكّرية (Mango - Sugary),2.19,Summer,19-29,ground,Full sun,Sandy,Fertilize monthly,Trim regularly for shape,2190,Medium (60%),Provides hydration and natural energy
شمام صيفي (Cantaloupe - Summer),0.58,Spring,19-29,ground,Partial shade,Sandy loam,Regular watering,Protect from frost,580,Medium (60%),Fix nitrogen and enrich soil fertility
مانجو ممتاز (Mango - Prime),2.99,Spring,20-35,medium,Indirect light,Clay,Deadhead spent blooms,Keep soil evenly moist,2990,Medium-Fast (70%),Helps prevent chronic diseases
برتقال ربيعي (Orange - Spring),2.68,Autumn,Nov-23,ground,Indirect light,Sandy loam,Regular watering,Trim regularly for shape,2680,Medium-Fast (70%),Provides hydration and natural energy
عنب بري (Grape - Wild),0.55,Summer,Dec-26,medium,Indirect light,Clay,Support stems/trellis,"Water at base, not foliage",550,Fast (80%),Helps prevent chronic diseases
ليمون قزمي (Lemon - Dwarf),1.49,Autumn,15-35,medium,Indirect light,Sandy loam,Fertilize monthly,Avoid overwatering,1490,Fast (80%),High in vitamin C and antioxidants
